,Environment,Diversity,Time,Rep
A10-5T15R1,env1,5,15,R1
A10-5T15R2,env1,5,15,R2
A10-5T15R3,env1,5,15,R3
A10-5T15R4,env1,5,15,R4
A10-5T15R5,env1,5,15,R5
A10-5T15R6,env1,5,15,R6
A10-5T1R1,env1,5,1,R1
A10-5T1R2,env1,5,1,R2
A10-5T1R3,env1,5,1,R3
A10-5T1R4,env1,5,1,R4
A10-5T1R5,env1,5,1,R5
A10-5T1R6,env1,5,1,R6
A10-5T30R1,env1,5,30,R1
A10-5T30R2,env1,5,30,R2
A10-5T30R3,env1,5,30,R3
A10-5T30R4,env1,5,30,R4
A10-5T30R5,env1,5,30,R5
A10-5T30R6,env1,5,30,R6
A10-5T5R1,env1,5,5,R1
A10-5T5R2,env1,5,5,R2
A10-5T5R3,env1,5,5,R3
A10-5T5R4,env1,5,5,R4
A10-5T5R5,env1,5,5,R5
A10-5T5R6,env1,5,5,R6
AxB-5T15R1,mix,5,15,R1
AxB-5T15R2,mix,5,15,R2
AxB-5T15R3,mix,5,15,R3
AxB-5T15R4,mix,5,15,R4
AxB-5T15R5,mix,5,15,R5
AxB-5T15R6,mix,5,15,R6
AxB-5T1R1,mix,5,1,R1
AxB-5T1R2,mix,5,1,R2
AxB-5T1R3,mix,5,1,R3
AxB-5T1R4,mix,5,1,R4
AxB-5T1R5,mix,5,1,R5
AxB-5T1R6,mix,5,1,R6
AxB-5T30R1,mix,5,30,R1
AxB-5T30R2,mix,5,30,R2
AxB-5T30R3,mix,5,30,R3
AxB-5T30R4,mix,5,30,R4
AxB-5T30R5,mix,5,30,R5
AxB-5T30R6,mix,5,30,R6
AxB-5T5R1,mix,5,5,R1
AxB-5T5R2,mix,5,5,R2
AxB-5T5R3,mix,5,5,R3
AxB-5T5R4,mix,5,5,R4
AxB-5T5R5,mix,5,5,R5
AxB-5T5R6,mix,5,5,R6
B10-5T15R1,env2,5,15,R1
B10-5T15R2,env2,5,15,R2
B10-5T15R3,env2,5,15,R3
B10-5T15R4,env2,5,15,R4
B10-5T15R5,env2,5,15,R5
B10-5T15R6,env2,5,15,R6
B10-5T1R1,env2,5,1,R1
B10-5T1R2,env2,5,1,R2
B10-5T1R3,env2,5,1,R3
B10-5T1R4,env2,5,1,R4
B10-5T1R5,env2,5,1,R5
B10-5T1R6,env2,5,1,R6
B10-5T30R1,env2,5,30,R1
B10-5T30R2,env2,5,30,R2
B10-5T30R3,env2,5,30,R3
B10-5T30R4,env2,5,30,R4
B10-5T30R5,env2,5,30,R5
B10-5T30R6,env2,5,30,R6
B10-5T5R1,env2,5,5,R1
B10-5T5R2,env2,5,5,R2
B10-5T5R3,env2,5,5,R3
B10-5T5R4,env2,5,5,R4
B10-5T5R5,env2,5,5,R5
B10-5T5R6,env2,5,5,R6
